administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,administrative_area_level_4,country,establishment,floor,hospital,lat,lng,locality,location_type,neighborhood,political,postal_code,postal_code_suffix,premise,route,street_number,subpremise
,,,,,,,HOSPITAL DR LUIZ CAMARGO DA FONSECA E SILVA,,,,,,,,,,,,
São Paulo,Penápolis,,,Brazil,,,SANTA CASA DE PENAPOLIS,-21.423325,-50.0721577,,ROOFTOP,,Centro,16300-000,,,Avenida Santa Casa,566,
São Paulo,Ilha Solteira,,,Brazil,,,HOSPITAL REGIONAL DE ILHA SOLTEIRA,-20.4313938,-51.33925079999999,,ROOFTOP,,,15385-000,,,Alameda Bahia,618,
Goiás,Valparaíso de Goiás,,,Brazil,,,HOSPITAL NOSSA SENHORA APARECIDA,-16.0587831,-47.9835629,,GEOMETRIC_CENTER,,Parque Sao Bernardo,72870-422,,,,,
São Paulo,São Bento do Sapucaí,,,Brazil,,,SANTA CASA SAO BENTO DO SAPUCAI,-22.686975,-45.7303508,,ROOFTOP,,Centro,12490-000,,,Praça General Marcondes Salgado,34,
São Paulo,Itaquaquecetuba,,,Brazil,,,HOSPITAL GERAL DE ITAQUAQUECETUBA,-23.4722592,-46.3460864,,ROOFTOP,,Jardim Nova Itaqua,08599-280,,,Rua Rio Negro,48,
São Paulo,São Paulo,,,Brazil,,,HOSPITAL JOAO EVANGELISTA,-23.4726804,-46.6157349,,ROOFTOP,,Tucuruvi,02340-000,,,Avenida Nova Cantareira,3050,
São Paulo,São Paulo,,,Brazil,,,HOSPITAL E MATERNIDADE SANTA MARIA CRUZ AZUL,-23.5659203,-46.6221538,,ROOFTOP,,Cambuci,01538-900,,,Avenida Lins de Vasconcelos,356,
São Paulo,Araçatuba,,,Brazil,,,SANTA CASA DE ARACATUBA HOSPITAL SAGRADO CORACAO DE JESUS,-21.2079598,-50.43029629999999,,ROOFTOP,,Vila Mendonca,16015-030,,,Rua Conselheiro Oscár Rodrigues Alves,1092,
São Paulo,Cajati,,,Brazil,,,HOSPITAL MUNICIPAL REYNALDO GUERRA CAJATI,-24.7224127,-48.1104223,,ROOFTOP,,Jardim Ribeira,11950-000,,,Rua Antônio Domingues Brecho,116,
São Paulo,Sorocaba,,,Brazil,,,HOSPITAL OFTALMOLOGICO DE SOROCABA,-23.5154692,-47.4601693,,ROOFTOP,,Jardim Emilia,18031-060,,,Praça Nabek Shiroma,210,
São Paulo,Amparo,,,Brazil,,,SANTA CASA ANNA CINTRA,-22.6970126,-46.76831,,ROOFTOP,,Centro,13901-310,,,Rua Ana Cintra,332,
São Paulo,Cotia,,,Brazil,,,HOSPITAL DA GRACA COTIA,-23.6447915,-46.9145158,,ROOFTOP,,Bairro Jardim Nossa Senhora das Graças,06722-500,,,Estrada do Dae,39,
São Paulo,Pilar do Sul,,,Brazil,,,SANTA CASA PILAR DO SUL,-23.8107452,-47.7286782,,ROOFTOP,,Campo Grande,18185-000,,,Avenida Papa João XXIII,1038,
São Paulo,Aparecida d'Oeste,,,Brazil,,,SANTA CASA DE APARECIDA DOESTE,-20.4500685,-50.87913229999999,,ROOFTOP,,Centro,15735-000,,,Rua São Paulo,1235,
São Paulo,Campinas,,,Brazil,,,SERVICO DE SAUDE DR CANDIDO FERREIRA,-22.8744058,-46.9706954,,ROOFTOP,,Sousas,13106-042,,,Rua Antônio Prado,430,
São Paulo,São Paulo,,,Brazil,,,HOSPITAL LEITO IRMA ANETTE MARLENE FERNANDES DE MELLO,-23.6581746,-46.80492659999999,,ROOFTOP,,Jardim Vazame,06814-310,,,Rua São Lucas,235,
State of São Paulo,Roseira,,,Brazil,,,UNIDADE MISTA DE SAUDE DE ROSEIRA DR PAULO GUIMARAES CASTRO,-22.9008073,-45.3089655,,APPROXIMATE,,,,,,,,
São Paulo,Murutinga do Sul,,,Brazil,,,SANTA CASA DE MURUTINGA DO SUL,-20.988296,-51.2788792,,ROOFTOP,,,16950-000,,,Rua Orlando Molina,187,
São Paulo,Capão Bonito,,,Brazil,,,SANTA CASA DE CAPAO BONITO,-24.0074617,-48.3469744,,ROOFTOP,,,18300-230,,,Rua Dona Auta de Camargo Lírio,51,
São Paulo,Ribeirão Preto,,,Brazil,,,CENTRO DE REF DA SAUDE DA MULHER DE R PRETO MATER,-21.1227955,-47.7915224,,ROOFTOP,,Quintino Facci II,14070-000,,,Avenida Wanderley Taffo,330,
São Paulo,Tatuí,,,Brazil,,,SANTA CASA DE MISERICORDIA DE TATUI,-23.3522192,-47.84477039999999,,ROOFTOP,,Centro,18270-400,,,Rua Maneco Pereira,299,
São Paulo,Campos do Jordão,,,Brazil,,,SANATORIO S3 CAMPOS DO JORDAO,-22.7437608,-45.6251264,,ROOFTOP,,Vila Maria Santa Cruz,12460-000,,,Rua Harry M. Levin,925,
Rondônia,Porto Velho,,,Brazil,,,MATERNIDADE MUNICIPAL,-8.7534678,-63.8815444,,ROOFTOP,,Embratel,76820-810,,,Rua Venezuela,2350,
,,,,,,,HOSP MUN MAT ESC DR MARIO DE MORAES A SILVA,,,,,,,,,,,,
São Paulo,Américo Brasiliense,,,Brazil,,,HOSPITAL NESTOR GOULART REIS AMERICO BRASILIENSE,-21.7401452,-48.1216976,,ROOFTOP,,Centro,14820-000,,,Alameda Aldo Lupo,1620,
São Paulo,Mogi Mirim,,,Brazil,,,LAR ESPIRITA MARIA DE NAZARE MOJI MIRIM,-22.4301852,-46.9708595,,ROOFTOP,,Parque da Imprensa,13806-305,,,Avenida Nelson Patelli,79,
São Paulo,Castilho,,,Brazil,,,HOSPITAL E MATERNIDADE JOSE FORTUNA,-20.8722895,-51.4870923,,ROOFTOP,,,16920-000,,,Avenida Samira Zahr,457,
California,Santa Clara County,,,United States,,,HOSPITAL SAO JOSE,37.3629801,-121.849786,San Jose,ROOFTOP,Alum Rock,,95116,,,North Jackson Avenue,225,
California,Santa Barbara County,,,United States,,,HOSPITAL SANTA BARBARA,34.43025280000001,-119.7233637,Santa Barbara,ROOFTOP,Oak Park,,93105,,,West Pueblo Street,400,
São Paulo,São Paulo,,,Brazil,,,HOSPITAL GERAL JESUS TEIXEIRA DA COSTA GUAIANASES SAO PAULO,-23.5524756,-46.4051716,,ROOFTOP,,Jardim Sao Paulo(Zona Leste),08461-110,,,Avenida Miguel Achiole da Fonseca,135,
São Paulo,Ribeirão Preto,,,Brazil,,,HOSPITAL SAO FRANCISCO RIBEIRAO PRETO,-21.1854565,-47.8089934,,ROOFTOP,,Centro,14015-130,,,Rua Bernardino de Campos,912,
São Paulo,Panorama,,,Brazil,,,SANTA CASA DE PANORAMA,-21.3634094,-51.8595634,,ROOFTOP,,Centro,17980-000,,,Rua Manoel Fernandes da Cunha,512,
São Paulo,Palmeira D'Oeste,,,Brazil,,,SANTA CASA DE PALMEIRA DOESTE,-20.4182273,-50.7616953,,ROOFTOP,,Centro,15720-000,,,Avenida Carlos Gomes,4929,
São Paulo,Cabreúva,,,Brazil,,,HOSPITAL SAO ROQUE CABREUVA,-23.3085443,-47.1328116,,ROOFTOP,,Centro,13315-000,,,Praça Comendador Martins,S/N,
São Paulo,Sorocaba,,,Brazil,,,HOSPITAL GPACI SOROCABA,-23.5139717,-47.4643329,,ROOFTOP,,Jardim Faculdade,18030-220,,,Rua Coronel José Pedro de Oliveira,678,
São Paulo,Igarapava,,,Brazil,,,SANTA CASA DE IGARAPAVA,-20.0355505,-47.7499105,,ROOFTOP,,Centro,14540-000,,,Rua Coronel Francisco Martins,769,
São Paulo,Tanabi,,,Brazil,,,SANTA CASA DE TANABI,-20.6275881,-49.6525849,,ROOFTOP,,,15170-000,,,Avenida da Saudade,"634, Centro",
São Paulo,Serrana,,,Brazil,,,SANTA CASA DE MISERICORDIA DE SERRANA,-21.2128285,-47.5999563,,ROOFTOP,,Centro,14150-000,,,Rua João Antônio Terçariol,67,
São Paulo,Salesópolis,,,Brazil,,,SANTA CASA DE SALESOPOLIS,-23.5292991,-45.84697,,ROOFTOP,,Centro,08970-000,,,Pc Pe João Menedes,31,
São Paulo,Tabatinga,,,Brazil,,,SANTA CASA DE MISERICORDIA TABATINGA SP,-21.7384132,-48.6854592,,ROOFTOP,,Vila Rossini,14910-000,,,Rua Catanduva,206,
São Paulo,Boa Esperança do Sul,,,Brazil,,,SANTA CASA SAO VICENTE DE PAULO BOA ESPERANCA DO SUL,-21.9874574,-48.3868413,,ROOFTOP,,Centro,14930-000,,,Rua Duque de Caxias,379,
São Paulo,Guarulhos,,,Brazil,,,COMPLEXO HOSPITALAR PADRE BENTO DE GUARULHOS,-23.4654754,-46.5508621,,ROOFTOP,,Gopouva,07051-000,,,Avenida Emílio Ribas,1819,
São Paulo,Salto de Pirapora,,,Brazil,,,SANTA CASA SALTO DE PIRAPORA,-23.6557843,-47.5740845,,ROOFTOP,,Centro,18160-000,,,Avenida Carlos Chagas,67,
São Paulo,Maracaí,,,Brazil,,,HOSPITAL BENEFICENTE DE MARACAI,-22.6125769,-50.6665386,,ROOFTOP,,Centro,19840-000,,,Avenida José Bonifácio,382,
São Paulo,Buritama,,,Brazil,,,SANTA CASA DE MISERICORDIA SAO FRANCISCO BURITAMA,-21.0697313,-50.1499211,,ROOFTOP,,,15290-000,,,Rua Guilherme Guerbas,353,
São Paulo,Cravinhos,,,Brazil,,,SANTA CASA DE CRAVINHOS,-21.3373188,-47.7323738,,ROOFTOP,,Centro,14140-000,,,Avenida Rita Candida Nogueira,38,
São Paulo,Cunha,,,Brazil,,,SANTA CASA DE MIS E MATERNIDADE N SRA DA CONCEICAO CUNHA,-23.0796528,-44.9612742,,ROOFTOP,,,12530-000,,,Avenida Padre Rodolfo,320,
São Paulo,Santa Adélia,,,Brazil,,,SANTA CASA DE SANTA ADELIA,-21.2458779,-48.80791139999999,,ROOFTOP,,Vila Toninho,15950-000,,,Avenida Duque de Caxias,168,
São Paulo,São Paulo,,,Brazil,,,HOSPITAL SAO PAULO,-23.5975141,-46.6436104,,ROOFTOP,,Vila Clementino,04024-002,,,Rua Napoleão de Barros,715,
São Paulo,Campos do Jordão,,,Brazil,,,CASA DA CRIANCA HOSPITAL INFANTIL CAMPOS DO JORDAO,-22.7426708,-45.5919974,,ROOFTOP,,Abernéssia,12460-000,,,Rua Monsenhor José Vita,321,
São Paulo,Registro,,,Brazil,,,HOSPITAL SAO JOAO REGISTRO,-24.4871847,-47.8466966,,ROOFTOP,,Centro,11900-000,,,Rua Kiheiji Nasuno,165,
São Paulo,Ibiúna,,,Brazil,,,HOSPITAL MUNICIPAL DE IBIUNA IBIUNA SP,-23.6495988,-47.2177125,,ROOFTOP,,Jardim Áurea,18150-000,,,Avenida Gabriel Monteiro da Silva,888,
São Paulo,Ourinhos,,,Brazil,,,INSTITUTO AGNES DE LEAO,-22.9619271,-49.8857902,,ROOFTOP,,Jardim Santa Fe,19910,,,Rua Paschoal Henrique,400,
São Paulo,Neves Paulista,,,Brazil,,,SANTA CASA DE NEVES PAULISTA,-20.8504999,-49.63109590000001,,ROOFTOP,,Centro,15120-000,,,Rua Floriano Peixoto,95,
São Paulo,São Luís do Paraitinga,,,Brazil,,,SANTA CASA DE MISERICORDIA DE SAO LUIZ DO PARAITINGA,-23.2254389,-45.3077057,,ROOFTOP,,Centro,12140-000,,,Pc Cel Theodoro Coelho,48,
São Paulo,Socorro,,,Brazil,,,HOSPITAL DR RENATO SILVA DE SOCORRO,-22.5984112,-46.529535,,ROOFTOP,,,13960-000,,,Avenida Doutor Renato Silva,129,
São Paulo,Santos,,,Brazil,,,HOSPITAL GUILHERME ALVARO SANTOS,-23.963225,-46.319539,,ROOFTOP,,Boqueirão,11045-904,,,Rua Oswaldo Cruz,197,
São Paulo,Araraquara,,,Brazil,,,CASA CAIRBAR SCHUTEL,-21.8111226,-48.14851609999999,,ROOFTOP,,Jardim Arco-Iris,14808-362,,,Avenida Caibar Schutel,454,
São Paulo,Campinas,,,Brazil,,,HOSPITAL DAS CLINICAS DA UNICAMP DE CAMPINAS,-22.8269585,-47.064116,,ROOFTOP,,Cidade Universitária,13083-888,,,Rua Vital Brasil,251,
São Paulo,Santa Branca,,,Brazil,,,SANTA CASA DE SANTA BRANCA,-23.3990192,-45.8871395,,ROOFTOP,,Centro,12380-000,,,Praça Rui Barbosa,109,
São Paulo,Taboão da Serra,,,Brazil,,,HOSPITAL GERAL PIRAJUSSARA TABOAO DA SERRA,-23.6405883,-46.8101223,,ROOFTOP,,Parque Industrial Daci,06785-300,,,Avenida Ibirama,1214,
São Paulo,Itápolis,,,Brazil,,,SANTA CASA DE MISERICORDIA ITAPOLIS,-21.5941264,-48.8053035,,ROOFTOP,,Centro,14900-000,,,Rua Antônio Compagno,411,
São Paulo,Piracaia,,,Brazil,,,SANTA CASA DE PIRACAIA,-23.0553578,-46.3569,,ROOFTOP,,Centro,12970-000,,,Avenida Doutor Cândido Rodrigues,120,
São Paulo,Suzano,,,Brazil,,,SANTA CASA DE SUZANO,-23.5524383,-46.3073924,,ROOFTOP,,Vila Figueira,08676-000,,,Avenida Antônio Marques Figueira,1861,
São Paulo,Taquarituba,,,Brazil,,,SANTA CASA DE TAQUARITUBA,-23.5394091,-49.2453762,,ROOFTOP,,Centro,18740-000,,,Rua Marechal Floriano Peixoto,95,
São Paulo,Jales,,,Brazil,,,SANTA CASA DE MISERICORDIA DE JALES,-20.2708698,-50.5526291,,ROOFTOP,,Centro,15700-082,,,Avenida João Amadeu,2049,
São Paulo,Pirangi,,,Brazil,,,HOSPITAL BENEFICENTE JOSE PIRONDI DE PIRANGI,-21.0970778,-48.6705788,,ROOFTOP,,Centro,15820-000,,,Av. Carmem Lúcia Giglio Girade,1901,
São Paulo,Louveira,,,Brazil,,,SANTA CASA DE LOUVEIRA,-23.0925956,-46.95175649999999,,ROOFTOP,,Jardim Vera Cruz,13290-000,,,Avenida Arthur de Souza Sygel,500,
São Paulo,Porto Feliz,,,Brazil,,,SANTA CASA DE PORTO FELIZ,-23.2039775,-47.52501849999999,,ROOFTOP,,Centro,18540-000,,,Rua Olavo Assumpção Fleury,101,
São Paulo,Urânia,,,Brazil,,,SANTA CASA DE URANIA,-20.2525471,-50.6428814,,ROOFTOP,,Nossa Senhora de Fátima,15760-000,,,Rua da Glória,218,
São Paulo,Laranjal Paulista,,,Brazil,,,SANTA CASA DE LARANJAL PAULISTA,-23.0555577,-47.8327396,,ROOFTOP,,Centro,18500-000,,,Rua Gov.Pedro de Toledo,633,
São Paulo,Diadema,,,Brazil,,,HOSPITAL MUNICIPAL DE DIADEMA HMD,-23.691791,-46.5870133,,ROOFTOP,,Piraporinha,09951-310,,,Avenida Piraporinha,1682,
São Paulo,São Joaquim da Barra,,,Brazil,,,SANTA CASA DE SAO JOAQUIM DA BARRA,-20.5870387,-47.861917,,ROOFTOP,,Centro,14600-000,,,Rua Piratininga,1221,
State of São Paulo,Santa Albertina,,,Brazil,,,HOSPITAL SANTA TEREZA SANTA ALBERTINA,-20.0331759,-50.7279229,,APPROXIMATE,,,15750-000,,,,,
São Paulo,Ferraz de Vasconcelos,,,Brazil,,,HOSPITAL DR OSIRIS FLORINDO COELHO FERRAZ DE VASCONCELOS,-23.5383066,-46.3585119,,ROOFTOP,,Vila Correa,,,,Rua Princesa Isabel,270,
São Paulo,Tietê,,,Brazil,,,SANTA CASA DE MISERICORDIA DE TIETE,-23.106657,-47.7133799,,ROOFTOP,,Centro,18530-000,,,Rua Tenente Gelás,1035,
São Paulo,José Bonifácio,,,Brazil,,,SANTA CASA DE JOSE BONIFACIO,-21.0556869,-49.6937303,,ROOFTOP,,Bela Vista,15200-000,,,Rua Quinze de Novembro,s/n,
São Paulo,Populina,,,Brazil,,,SANTA CASA DE POPULINA,-19.9428106,-50.5335283,,ROOFTOP,,Centro,15670-000,,,Rua Treze de Maio,1099,
São Paulo,Franca,,,Brazil,,,HOSPITAL PSIQUIATRICO ALLAN KARDEC FRANCA SP,-20.5263109,-47.3957711,,ROOFTOP,,Cidade Nova,14401-080,,,Rua José Marquês García,675,
São Paulo,São Paulo,,,Brazil,,,INST DO CANCER ARNALDO VIEIRA DE CARVALHO,-23.5426544,-46.6505451,,ROOFTOP,,Vila Buarque,01221-020,,,Rua Doutor Cesário Mota Júnior,112,
São Paulo,Ariranha,,,Brazil,,,HOSPITAL JULIA RUETE ARIRANHA,-21.1888258,-48.7849234,,ROOFTOP,,Centro,15960-000,,,Rua Siqueira Campos,29,
São Paulo,Itu,,,Brazil,,,HOSPITAL DR FRANCISCO RIBEIRO ARANTES ITU,-23.3819413,-47.3373594,,ROOFTOP,,Pirapitingui,13308-905,,,Rodovia Waldomiro Corrêa de Camargo,Km 63,
São Paulo,Caconde,,,Brazil,,,SANTA CASA DE CACONDE,-21.532629,-46.6445133,,ROOFTOP,,Centro,13770-000,,,Rua Padre Ângelis,número 39,
,,,,,,,EMED HOSPITAL E MATERNIDADE,,,,,,,,,,,,
São Paulo,Santo André,,,Brazil,,,HOSPITAL ESTADUAL MARIO COVAS DE SANTO ANDRE,-23.6707824,-46.5327805,,ROOFTOP,,Paraíso,09190-615,,,Rua Doutor Henrique Calderazzo,321,
São Paulo,Herculândia,,,Brazil,,,HOSPITAL SAO JOSE DE HERCULANDIA,-22.0057466,-50.3878206,,ROOFTOP,,,17650-000,,,Rua Dom Pedro II,162,
São Paulo,Guarulhos,,,Brazil,,,HOSPITAL GERAL DE GUARULHOS PROF DR WALDEMAR DE CARVALHO,-23.4496563,-46.4951351,,ROOFTOP,,Parque Cecap,07190-012,,,Alameda dos Lírios,300,
São Paulo,São Paulo,,,Brazil,,,HOSP MUN DR CARMINO CARICCHIO,-23.533184,-46.5667126,,ROOFTOP,,Tatuapé,03063-000,,,Avenida Celso Garcia,4815,
,,,,,,,HOSPITAL SANTO ANTONIO SANTOS,,,,,,,,,,,,
São Paulo,Indiaporã,,,Brazil,,,CASA DE SAUDE DE INDIAPORA,-19.9792048,-50.2851088,,ROOFTOP,,Centro,15690-000,,,Rua Coleta Macedo de Oliveira,1000,
São Paulo,Pirajuí,,,Brazil,,,SANTA CASA DE PIRAJUI,-21.9975197,-49.458388,,ROOFTOP,,Centro,16600-000,,,Avenida Rui Barbosa Lima,746,
São Paulo,Ribeirão Preto,,,Brazil,,,HOSPITAL IMACULADA CONCEICAO RIBEIRAO PRETO,-21.1825854,-47.8156253,,ROOFTOP,,Centro,14010-090,,,Rua Tibiriçá,1172,
São Paulo,Guarulhos,,,Brazil,,,HOSPITAL MUNICIPAL DA CRIANCA E DO ADOLESCENTE HMCA,-23.466868,-46.5322317,,ROOFTOP,,Centro,07011-060,,,Rua José Maurício,191,
São Paulo,São Manuel,,,Brazil,,,HOSPITAL DA CASA PIA SAO VICENTE DE PAULA,-22.7333215,-48.5709987,,ROOFTOP,,Centro,18650-000,,,Avenida Irmãs Cintra,468,
São Paulo,Ipuã,,,Brazil,,,SANTA CASA DE IPUA,-20.436874,-48.0114987,,ROOFTOP,,Centro,14610-000,,,Rua Ferdinando Fratim,335,
São Paulo,Pedregulho,,,Brazil,,,SANTA CASA DE MISERICORDIA DE PEDREGULHO,-20.258492,-47.4768131,,ROOFTOP,,,14470-000,,,Rua Tenente Salviano,125,
São Paulo,Americana,,,Brazil,,,HOSPITAL INFANTIL ANDRE LUIZ,-22.7087211,-47.3682179,,GEOMETRIC_CENTER,,Jardim da paz,,,,,,
São Paulo,Álvares Machado,,,Brazil,,,SANTA CASA DE ALVARES MACHADO,-22.0799813,-51.4754942,,ROOFTOP,,CENTRO,19160-000,,,Rua Monsenhor Nakamura,S/N,
São Paulo,Regente Feijó,,,Brazil,,,HOSPITAL E MATERNIDADE REGIONAL REGENTE FEIJO,-22.2185298,-51.3045058,,ROOFTOP,,,19570-000,,,Rua Brigadeiro Tobias,300,
São Paulo,Presidente Prudente,,,Brazil,,,SANTA CASA HOSP DR ARISTOTELES OLIVEIRA MARTINS PRES PRUDENT,-22.1294233,-51.3925784,,ROOFTOP,,Vila Euclides,19014-030,,,Rua Wenceslau Braz,5,
São Paulo,Aguaí,,,Brazil,,,SANTA CASA DE AGUAI,-22.0632354,-46.9763862,,ROOFTOP,,Vila Bom Gosto,13860-000,,,Rua Alexandrino de Alençar,37,
Kansas,Miami County,Marysville,,United States,,,HOSPITAL BP,38.6648144,-94.8553619,Hillsdale,ROOFTOP,,,66036,,,Old Kc Road,25500,
São Paulo,São Paulo,,,Brazil,,,HOSP MUN TIDE SETUBAL,-23.4971001,-46.4400249,,ROOFTOP,,Vila Doutor Eiras,08010-220,,,Rua Doutor José Guilherme Eiras,123,
São Paulo,Torrinha,,,Brazil,,,HOSPITAL PADRE NICANOR MERINO TORRINHA,-22.423912,-48.1697863,,ROOFTOP,,Centro,17360-000,,,Rua Ângelo Bortolai,126,
São Paulo,Pompéia,,,Brazil,,,SANTA CASA POMPEIA,-22.1009815,-50.17715150000001,,ROOFTOP,,Slandria,17580-000,,,Rua Luís Selani Neto,345,
São Paulo,Jardinópolis,,,Brazil,,,HOSPITAL SANTA CASA DE JARDINOPOLIS,-21.0296854,-47.77874509999999,,ROOFTOP,,Vila das Mangueiras,14680-000,,,Rua Antônio Elias Said,nº 100,
São Paulo,Tupã,,,Brazil,,,INSTITUTO DE PSIQUIATRIA TUPA,-21.9261041,-50.52835779999999,,ROOFTOP,,Jardim Nossa Senhora de Fatima,17605-244,,,Rua São João,310,
São Paulo,Tupã,,,Brazil,,,SANTA CASA DE TUPA,-21.9238509,-50.5176852,,ROOFTOP,,Vila Frias,17601-901,,,Rua Manoel Ferreira Damião,426,
São Paulo,Tupã,,,Brazil,,,HOSPITAL SAO FRANCISCO TUPA,-21.9362517,-50.5134506,,ROOFTOP,,Centro,17600-010,,,Rua Coroados,776,
São Paulo,Mogi das Cruzes,,,Brazil,,,HOSPITAL DAS CLINICAS LUZIA DE PINHO MELO MOGI DAS CRUZES,-23.510614,-46.194708,,ROOFTOP,,Vila Mogilar,08773-130,,,Rua Manuel de Oliveira,S/N,
São Paulo,São Vicente,,,Brazil,,,HOSPITAL SAO JOSE SAO VICENTE,-23.96522,-46.3866457,,ROOFTOP,,Centro,11310-061,,,Rua Frei Gaspar,790,
São Paulo,Gália,,,Brazil,,,HOSPITAL SAO VICENTE DE GALIA,-22.2902883,-49.55091609999999,,ROOFTOP,,,17450-000,,,Rua Décio Silvério,321,
São Paulo,Santa Cruz das Palmeiras,,,Brazil,,,SANTA CASA DE SANTA CRUZ DAS PALMEIRAS,-21.824901,-47.2504323,,ROOFTOP,,Centro,13650-000,,,Rua Monteiro de Barros,179,
São Paulo,São Paulo,,,Brazil,,,HOSP MUN DOUTOR ALEXANDRE ZAIO,-23.5430315,-46.5021074,,ROOFTOP,,Vila Nhocuné,03558,,,Rua Alves Maldonado,128,
Baja California,,,,Mexico,,,HOSP SAMARITANO,32.6374904,-115.4973762,Mexicali,ROOFTOP,,Guajardo,21080,,,Avenida Navolato,1299,
São Paulo,Itajobi,,,Brazil,,,HOSPITAL SAO JOSE DE ITAJOBI,-21.3183911,-49.0559248,,ROOFTOP,,,15840-000,,,Rua Rio Branco,251,
São Paulo,Cândido Mota,,,Brazil,Pq. Lorival,,SANTA CASA DE MISERICORDIA DE CANDIDO MOTA,-22.7428316,-50.3839888,,ROOFTOP,,,19880-000,,,Rua José Laurindo de Almeida,12,
São Paulo,Paulo de Faria,,,Brazil,,,SANTA CASA DE PAULO DE FARIA,-20.0298265,-49.4016337,,ROOFTOP,,Centro,15490-000,,,Rua Zenha Ribeiro,958,
São Paulo,Pacaembu,,,Brazil,,,SANTA CASA PACAEMBU,-21.5640714,-51.25203639999999,,GEOMETRIC_CENTER,,Monte Líbano,17860-000,,,,,
State of Goiás,Padre Bernardo,,,Brazil,,,HOSPITAL BENEFICENTE PADRE BERNARDO BRAAKIUS,-15.1609381,-48.2837403,Padre Bernardo,APPROXIMATE,,,73700-000,,,,,
Paraná,Curitiba,,,Brazil,,,HOSPITAL SAO VICENTE,-25.4350682,-49.2801696,,ROOFTOP,,Centro,80420-010,,,Avenida Vicente Machado,401,
São Paulo,São Carlos,,,Brazil,,,SANTA CASA DE SAO CARLOS,-22.0119659,-47.90111479999999,,ROOFTOP,,Jardim Pureza,13561-060,,,Rua Paulino Botelho de Abreu Sampaio,535,
São Paulo,Palmital,,,Brazil,,,SANTA CASA DE MISERICORDIA DE PALMITAL,-22.7914963,-50.2177119,,ROOFTOP,,Paraná,19970-000,,,Alameda da Paz,80,
São Paulo,Estrela D'Oeste,,,Brazil,,,SANTA CASA DE ESTRELA DOESTE,-20.2883924,-50.3969518,,ROOFTOP,,,15650-000,,,Avenida São Paulo,1207,
São Paulo,Clementina,,,Brazil,,,HOSPITAL DE CLEMENTINA,-21.5568712,-50.4473655,,ROOFTOP,,Centro,16250-000,,,Rua Enzo Bruno Carramaschi,01,
São Paulo,Marília,,,Brazil,,,HOSPITAL ESPIRITA DE MARILIA,-22.209902,-49.958091,,ROOFTOP,,Alto Cafezal,17504-072,,,Rua Doutor Joaquim de Abreu Sampaio Vidal,470,
São Paulo,Paulínia,,,Brazil,,,HOSPITAL MUNICIPAL DE PAULINIA,-22.7699925,-47.149541,,ROOFTOP,,Nova Paulínia,13140-000,,,Rua Miguel Vicente Cury,100,
São Paulo,Assis,,,Brazil,,,SANTA CASA DE ASSIS,-22.6602689,-50.409098,,ROOFTOP,,Centro,19814-015,,,Praça Doutor Symphronio Alves dos Santos,166,
São Paulo,Itapira,,,Brazil,,,HOSPITAL MUNICIPAL DE ITAPIRA,-22.4317804,-46.82686820000001,,ROOFTOP,,São Benedito,13976-010,,,Rua Reverendo Alfredo Guimarães,111,
São Paulo,Valparaíso,,,Brazil,,,SANTA CASA DE VALPARAISO,-21.2307721,-50.8618122,,ROOFTOP,,,16880-000,,,Rua Bartolomeu Bueno,241,
São Paulo,Rio Claro,,,Brazil,,,HOSPITAL SANTA FILOMENA DE RIO CLARO,-22.4096047,-47.5615433,,ROOFTOP,,Centro,13500-410,,,Avenida Dois,345,
São Paulo,Marília,,,Brazil,,,HOSPITAL UNIVERSITARIO I DE MARILIA,-22.2381509,-49.9665431,,ROOFTOP,,Jardim Sao Gabriel,17525-160,,,Rua Doutor Próspero Cecílio Coimbra,80,
São Paulo,Ribeirão Preto,,,Brazil,,,HOSPITAL SANTA LYDIA RIBEIRAO PRETO,-21.1703425,-47.80287500000001,,ROOFTOP,,Campos Elísios,14085-070,,,Rua Tamandaré,434,
Rondônia,Espigão D'Oeste,,,Brazil,,,HOSPITAL E MATERNIDADE SAO LUCAS,-11.528721,-61.0174639,,ROOFTOP,,Centro,76974-000,,,Rua da Matriz,104-200,
São Paulo,Parapuã,,,Brazil,,,SANTA CASA DE PARAPUA,-21.7847351,-50.7919263,,ROOFTOP,,Centro,17730-000,,,Rua Fortaleza,725,
São Paulo,Rinópolis,,,Brazil,,,HOSPITAL SAO PAULO DE RINOPOLIS,-21.7297629,-50.7264948,,GEOMETRIC_CENTER,,,17740-000,,,Rua Francisco L Munhoz,,
São Paulo,Sud Mennucci,,,Brazil,,,SANTA CASA DE SUD MENNUCCI,-20.6876922,-50.92425480000001,,ROOFTOP,,CENTRO,15360-000,,,Rua Maurício Alves de Lima,522,
São Paulo,Araras,,,Brazil,,,HOSPITAL SAO LUIZ DE ARARAS,-22.3577875,-47.3799921,,ROOFTOP,,Centro,13600-690,,,Rua Doutor Armando Sales de Oliveira,110,
São Paulo,São Paulo,,,Brazil,,,HOSPITAL SAO LUIZ,-23.5909464,-46.7037206,,ROOFTOP,,Jardim Guedala,05605-050,,,Rua Engenheiro Oscar Americano,840,
São Paulo,Cajobi,,,Brazil,,,HOSPITAL JOAO DEPIERI DE CAJOBI,-20.8740022,-48.8093733,,ROOFTOP,,,15410-000,,,Rua Adélio Rosa,375,
